,from1,to,walktime,distance,popularity,category,rideDuration
34,1,35,2844.35216177069,3953.64950486126,0,Community Use,0
35,1,36,1376.38589547868,1913.17639471537,0,Community Use,0
36,1,37,2848.33064979504,3959.17960321511,0,Community Use,0
37,1,38,2604.31571792151,3619.99884791089,0,Community Use,0
38,1,39,558.351971222965,776.109239999922,0,Leisure/Recreation,0
39,1,40,1655.97289678042,2301.80232652479,0,Leisure/Recreation,0
40,1,41,2464.60447694674,3425.80022295597,0,Transport,0
41,1,42,1187.08870721213,1650.05330302486,0,Leisure/Recreation,0
42,1,43,3570.33770474407,4962.76940959426,0,Leisure/Recreation,0
43,1,44,1677.82614757465,2332.17834512876,0,Community Use,0
44,1,45,1471.12280336899,2044.8606966829,0,Leisure/Recreation,0
45,1,46,1484.55082561896,2063.52564761035,0,Leisure/Recreation,0
46,1,47,1915.72857423612,2662.8627181882,0,Retail,0
47,1,48,2206.61447874359,3067.19412545359,0,Education Centre,0
48,1,49,2047.40977332859,2845.89958492674,0,Education Centre,0
49,1,50,2337.1866270206,3248.68941155863,0,Leisure/Recreation,0
50,1,51,2279.95873664824,3169.14264394105,0,Place Of Assembly,0
51,1,52,3711.86364878373,5159.49047180939,0,Leisure/Recreation,0
52,1,53,4366.38597101679,6069.27649971333,0,Education Centre,0
53,1,54,5538.8170236166,7698.95566282707,0,Education Centre,0
54,1,55,3267.07118190914,4541.2289428537,0,Place Of Assembly,0
55,1,56,3258.66750543731,4529.54783255786,0,Place Of Assembly,0
56,1,57,3228.37275942375,4487.43813559902,0,Place Of Assembly,0
57,1,58,3446.54414346953,4790.69635942265,0,Education Centre,0
58,1,59,4602.58320770372,6397.59065870816,0,Place Of Assembly,0
59,1,60,1728.41207323203,2402.49278179252,0,Leisure/Recreation,0
60,1,61,2550.53020331527,3545.23698260822,0,Transport,0
61,1,62,2760.67002734424,3837.33133800849,0,Place Of Assembly,0
62,1,63,3127.017877427,4346.55484962354,0,Leisure/Recreation,0
63,1,64,1287.53213020339,1789.66966098272,0,Education Centre,0
64,1,65,2356.84705753545,3276.01740997428,0,Community Use,0
65,1,66,2869.78754949619,3989.0046937997,0,Place Of Assembly,0
66,1,67,3014.51362816871,4190.17394315451,0,Mixed Use,0
67,1,68,2993.00345463669,4160.274801945,0,Office,0
68,1,69,3206.05370490343,4456.41464981577,0,Health Services,0
69,1,70,2909.91462170712,4044.7813241729,0,Leisure/Recreation,0
70,1,71,1215.41094126872,1689.42120836352,0,Office,0
71,1,72,2319.07913169962,3223.51999306248,0,Community Use,0
72,1,73,2206.37531212067,3066.86168384773,0,Transport,0
73,1,74,2388.63667376385,3320.20497653175,0,Community Use,0
74,1,75,4090.2377845174,5685.43052047918,0,Leisure/Recreation,0
75,1,76,3749.51888084727,5211.8312443777,0,Leisure/Recreation,0
76,1,77,820.420646936643,1140.38469924193,0,Sports ,0
77,1,78,3332.28173988971,4631.8716184467,0,Office,0
78,1,79,3115.59582106139,4330.67819127533,0,Place Of Assembly,0
79,1,80,3051.89280231999,4242.13099522479,0,Place Of Assembly,0
80,1,81,3023.57467467638,4202.76879780017,0,Place Of Assembly,0
81,1,82,3790.9431373604,5269.41096093096,0,Vacant Land,0
82,1,83,3673.16352420564,5105.69729864584,0,Leisure/Recreation,0
83,1,84,3070.50080134465,4267.99611386907,0,Mixed Use,0
84,1,85,3547.13963557141,4930.52409344426,0,Place Of Assembly,0
85,1,86,3577.08876828326,4972.15338791374,0,Place Of Assembly,0
86,1,87,2905.56489459041,4038.73520348067,0,Place of Worship,0
87,1,88,3288.55247203167,4571.08793612403,0,Place Of Assembly,0
88,1,89,2854.98493787114,3968.42906364089,0,Office,0
89,1,90,2757.6093161236,3833.0769494118,0,Community Use,0
90,1,91,2225.91967268628,3094.02834503393,0,Office,0
91,1,92,3011.94781570672,4186.60746383234,0,Mixed Use,0
92,1,93,3347.09251115114,4652.45859050008,0,Leisure/Recreation,0
93,1,94,3595.800708985,4998.16298548916,0,Community Use,0
94,1,95,3053.53479685241,4244.41336762485,0,Purpose Built,0
95,1,96,2859.99562158035,3975.39391399668,0,Health Services,0
96,1,97,3007.90250696122,4180.98448467609,0,Office,0
97,1,98,3040.86647144859,4226.80439531355,0,Place Of Assembly,0
98,1,99,3026.65184629288,4207.0460663471,0,Leisure/Recreation,0
99,1,100,3743.23073685143,5203.09072422349,0,Place Of Assembly,0
100,1,101,2169.21302813256,3015.20610910426,0,Leisure/Recreation,0
101,1,102,2097.81953052997,2915.96914743665,0,Purpose Built,0
102,1,103,2253.61189373415,3132.52053229047,0,Purpose Built,0
103,1,104,2668.8485878257,3709.69953707772,0,Leisure/Recreation,0
104,1,105,2151.28612188767,2990.28770942386,0,Mixed Use,0
105,1,106,2062.08001900224,2866.29122641311,0,Vacant Land,0
106,1,107,4058.75930827169,5641.67543849764,0,Leisure/Recreation,0
107,1,108,2178.43874772967,3028.02985934424,0,Transport,0
108,1,109,2283.61010369195,3174.21804413181,0,Place Of Assembly,0
109,1,110,1879.09160195092,2611.93732671177,0,Leisure/Recreation,0
110,1,111,2820.5410821325,3920.55210416418,0,Leisure/Recreation,0
111,1,112,844.640716979974,1174.05059660216,0,Education Centre,0
112,1,113,1031.15594436409,1433.30676266608,0,Leisure/Recreation,0
113,1,114,1308.04181828639,1818.17812741808,0,Health Services,0
114,1,115,2788.50249503455,3876.01846809803,0,Education Centre,0
115,1,116,2719.81438648228,3780.54199721037,0,Place Of Assembly,0
116,1,117,2849.08464112817,3960.22765116816,0,Specialist Residential Accommodation,0
117,1,118,2746.33783613946,3817.40959223385,0,Vacant Land,0
118,1,119,1888.63940325732,2625.20877052767,0,Sports,0
119,1,120,3672.55687430094,5104.8540552783,0,Leisure/Recreation,0
120,1,121,3616.78400704977,5027.32976979918,0,Leisure/Recreation,0
121,1,122,3591.81698460233,4992.62560859724,0,Leisure/Recreation,0
122,1,123,3879.41667254317,5392.389174835,0,Leisure/Recreation,0
123,1,124,2390.23654971802,3322.42880410805,0,Place Of Assembly,0
124,1,125,2328.4900132404,3236.60111840415,0,Place Of Assembly,0
125,1,126,3398.56449809883,4724.00465235737,0,Community Use,0
126,1,127,3417.04519466615,4749.69282058595,0,Place Of Assembly,0
127,1,128,3372.91220264377,4688.34796167484,0,Community Use,0
128,1,129,3371.14502511357,4685.89158490786,0,Community Use,0
129,1,130,3373.81494448996,4689.60277284104,0,Community Use,0
130,1,131,3126.60475433332,4345.98060852332,0,Place Of Assembly,0
131,1,132,3209.76289751945,4461.57042755204,0,Leisure/Recreation,0
132,1,133,3164.94158883979,4399.26880848731,0,Leisure/Recreation,0
133,1,134,3367.66022022577,4681.04770611383,0,Leisure/Recreation,0
134,1,135,3310.45278700642,4601.52937393892,0,Leisure/Recreation,0
135,1,136,2839.85083339437,3947.39265841818,0,Transport,0
136,1,137,4267.08105043194,5931.2426601004,0,Transport,0
137,1,138,3608.96346449608,5016.45921564955,0,Transport,0
138,1,139,864.551096701383,1201.72602441492,0,Leisure/Recreation,0
139,1,140,1265.64472682134,1759.24617028166,0,Leisure/Recreation,0
140,1,141,577.878378928314,803.250946710356,0,Transport,0
141,1,142,710.557610236493,987.675078228725,0,Transport,0
142,1,143,1255.93821114593,1745.75411349284,0,Transport,0
143,1,144,940.922152004866,1307.88179128676,0,Leisure/Recreation,0
144,1,145,834.96521330717,1160.60164649697,0,Health Services,0
145,1,146,958.091566077076,1331.74727684714,0,Transport,0
146,1,147,1383.61518428303,1923.22510615341,0,Leisure/Recreation,0
147,1,148,3781.30964860918,5256.02041156677,0,Place Of Assembly,0
148,1,149,4129.30192787791,5739.7296797503,0,Leisure/Recreation,0
149,1,150,3996.77061790852,5555.51115889284,0,Community Use,0
150,1,151,3938.83043984598,5474.97431138592,0,Residential Accommodation,0
151,1,152,4296.7025196633,5972.41650233199,0,Leisure/Recreation,0
152,1,153,3956.21389457187,5499.1373134549,0,Leisure/Recreation,0
153,1,154,3303.41971925188,4591.75340976011,0,Office,0
154,1,155,3343.25664061983,4647.12673046156,0,Office,0
155,1,156,3358.2380990514,4667.95095768144,0,Office,0
156,1,157,3320.36347265484,4615.30522699023,0,Office,0
157,1,158,1935.17392088693,2689.89175003283,0,Leisure/Recreation,0
158,1,159,2903.3603726955,4035.67091804674,0,Transport,0
159,1,160,2921.13564944914,4060.3785527343,0,Transport,0
160,1,161,2701.63564784365,3755.27355050267,0,Transport,0
161,1,162,2158.5605196926,3000.39912237272,0,Transport,0
162,1,163,2274.90653401623,3162.12008228256,0,Transport,0
163,1,164,2286.47925460871,3178.20616390611,0,Transport,0
164,1,165,2360.80050321266,3281.5126994656,0,Transport,0
165,1,166,1967.89262303291,2735.37074601574,0,Transport,0
166,1,167,1586.23421492671,2204.86555874812,0,Transport,0
167,1,168,649.903548803006,903.365932836178,0,Transport,0
168,1,169,2781.2064147284,3865.87691647248,0,Place Of Assembly,0
169,1,170,5368.15642340932,7461.73742853896,0,Health Services,0
170,1,171,1588.75362600556,2208.36754014772,0,Sports,0
171,1,172,3721.18903512713,5172.45275882671,0,Leisure/Recreation,0
172,1,173,2011.97292028324,2796.64235919371,0,Place Of Assembly,0
173,1,174,2079.10125186058,2889.95074008621,0,Leisure/Recreation,0
174,1,175,1858.99952961863,2584.00934616989,0,Sports,0
175,1,176,1123.40997124081,1561.53986002473,0,Education Centre,0
176,1,177,2643.96904589747,3675.11697379748,0,Place Of Assembly,0
177,1,178,2629.21212853558,3654.60485866445,0,Place Of Assembly,0
178,1,179,1997.68966113955,2776.78862898398,0,Place Of Assembly,0
179,1,180,3204.79839477719,4454.6697687403,0,Industrial,0
180,1,181,5029.72078120911,6991.31188588066,0,Leisure/Recreation,0
181,1,182,3272.55223542096,4548.84760723513,0,Leisure/Recreation,0
182,1,183,3355.48584533416,4664.12532501448,0,Place Of Assembly,0
183,1,184,1201.59062262156,1670.21096544397,0,Education Centre,0
184,1,185,2858.24490389825,3972.96041641857,0,Leisure/Recreation,0
185,1,186,2879.52663785277,4002.54202661535,0,Place Of Assembly,0
186,1,187,2818.29763186962,3917.43370829876,0,Place Of Assembly,0
187,1,188,2920.19976316137,4059.0776707943,0,Place of Worship,0
188,1,189,2958.80938014671,4112.74503840393,0,Place Of Assembly,0
189,1,190,2957.26569569464,4110.59931701555,0,Transport,0
190,1,191,1704.89597974093,2369.80541183989,0,Warehouse/Store,0
191,1,192,1805.93050943788,2510.24340811865,0,Warehouse/Store,0
192,1,193,2805.7342792269,3899.97064812539,0,Place Of Assembly,0
193,1,194,2830.16605394035,3933.93081497708,0,Community Use,0
194,1,195,1401.66550771672,1948.31505572624,0,Health Services,0
195,1,196,1737.41139662604,2415.0018413102,0,Place Of Assembly,0
196,1,197,1593.97778519623,2215.62912142276,0,Education Centre,0
197,1,198,2222.57889605347,3089.38466551433,0,Place Of Assembly,0
198,1,199,2202.58149149679,3061.58827318054,0,Community Use,0
199,1,200,2251.76190284726,3129.94904495769,0,Education Centre,0
200,1,201,2324.72889928076,3231.37317000025,0,Mixed Use,0
201,1,202,2335.89241865797,3246.89046193458,0,Transport,0
202,1,203,2457.48955681054,3415.91048396666,0,Mixed Use,0
203,1,204,2058.96186183106,2861.95698794518,0,Leisure/Recreation,0
204,1,205,2035.27846632044,2829.03706818542,0,Leisure/Recreation,0
205,1,206,2194.14493542113,3049.86146023538,0,Leisure/Recreation,0
206,1,207,2344.90263159895,3259.41465792255,0,Leisure/Recreation,0
207,1,208,2771.13352214917,3851.87559578735,0,Leisure/Recreation,0
208,1,209,976.090927119816,1356.76638869654,0,Leisure/Recreation,0
209,1,210,934.594276315305,1299.08604407827,0,Office,0
210,1,211,925.770242375286,1286.82063690165,0,Leisure/Recreation,0
211,1,212,2092.38815378333,2908.41953375883,0,Leisure/Recreation,0
212,1,213,2143.21765559079,2979.07254127119,0,Leisure/Recreation,0
213,1,214,3964.55007386879,5510.72460267761,0,Leisure/Recreation,0
214,1,215,1550.20906416701,2154.79059919214,0,Transport,0
215,1,216,3298.41037755776,4584.79042480529,0,Place Of Assembly,0
216,1,217,3230.66108318805,4490.61890563139,0,Community Use,0
217,1,218,2889.41158652331,4016.28210526741,0,Purpose Built,0
218,1,219,3855.49895074784,5359.1435415395,0,Leisure/Recreation,0
219,1,220,2425.60726274952,3371.59409522183,0,Place Of Assembly,0
220,1,221,2288.61713679175,3181.17782014053,0,Community Use,0
221,1,222,2300.23804258308,3197.33087919049,0,Leisure/Recreation,0
222,1,223,3119.00478788393,4335.41665515867,0,Leisure/Recreation,0
223,1,224,3106.56648318482,4318.1274116269,0,Mixed Use,0
224,1,225,2317.8275086391,3221.78023700835,0,Community Use,0
225,1,226,3047.07643530124,4235.43624506873,0,Health Services,0
226,1,227,1835.97280218072,2552.0021950312,0,Health Services,0
227,1,228,2966.87926707282,4123.96218123122,0,Leisure/Recreation,0
228,1,229,3076.10679538439,4275.7884455843,0,Mixed Use,0
229,1,230,2979.46569973552,4141.45732263237,0,Community Use,0
230,1,231,3015.76660079326,4191.91557510263,0,Place Of Assembly,0
231,1,232,2848.51122686767,3959.43060534606,0,Transport,0
232,1,233,3172.0407719141,4409.13667296059,0,Place Of Assembly,0
233,1,234,4518.96729248666,6281.36453655646,0,Education Centre,0
234,1,235,2559.42512471983,3557.60092336056,0,Retail,0
235,1,236,2561.91742676555,3561.06522320411,0,Retail,0
236,1,237,1890.18124965127,2627.35193701526,0,Leisure/Recreation,0
237,1,238,3348.58224100648,4654.52931499901,0,Health Services,0
238,1,239,3443.30265043638,4786.19068410657,0,Residential Accommodation,0
239,1,240,3428.10661856486,4765.06819980515,0,Health Services,0
240,1,241,2618.23292441397,3639.34376493542,0,Place Of Assembly,0
241,1,242,2649.28365757666,3682.50428403155,0,Mixed Use,0
242,2,1,2710.79804955462,3768.00928888092,0,Transport,0
243,2,3,64.911625235687,90.227159077605,0,Place Of Assembly,0
244,2,4,717.547107636157,997.390479614258,0,Leisure/Recreation,0
245,2,5,327.20577557675,454.816028051683,0,Place of Worship,0
246,2,6,342.052656096452,475.453191974068,0,Place of Worship,0
247,2,7,775.269272781154,1077.6242891658,0,Place of Worship,0
248,2,8,954.551350861142,1326.82637769699,0,Place of Worship,0
249,2,9,1204.07305841858,1673.66155120183,0,Place of Worship,0
250,2,10,722.574958628104,1004.37919249306,0,Place of Worship,0
251,2,11,525.125548123991,729.924511892347,0,Place of Worship,0
252,2,12,350.60511169896,487.341105261554,0,Place of Worship,0
253,2,13,123.384119648173,171.50392631096,0,Place of Worship,0
254,2,14,160.559825343679,223.178157227714,0,Place of Worship,0
255,2,15,854.189768811087,1187.32377864741,0,Place of Worship,0
256,2,16,655.244538121928,910.78990798948,0,Place of Worship,0
257,2,17,631.73612233662,878.113210047901,0,Place of Worship,0
258,2,18,1046.59190469442,1454.76274752525,0,Place of Worship,0
259,2,19,535.311276579396,744.08267444536,0,Place of Worship,0
260,2,20,1473.22128289789,2047.77758322806,0,Place of Worship,0
261,2,21,1161.216466607,1614.09088858373,0,Place of Worship,0
262,2,22,1474.87357803134,2050.07427346357,0,Place of Worship,0
263,2,23,949.966301927968,1320.45315967988,0,Place of Worship,0
264,2,24,2101.27772056012,2920.77603157856,0,Place of Worship,0
265,2,25,2013.23813627539,2798.40100942279,0,Place of Worship,0
266,2,26,2252.15988545705,3130.5022407853,0,Place of Worship,0
267,2,27,3003.13620312981,4174.35932235043,0,Place of Worship,0
268,2,28,2876.44274876834,3998.25542078799,0,Place of Worship,0
269,2,29,97.2827090509105,135.222965580766,0,Place of Worship,0
270,2,30,1802.28337326422,2505.17388883727,0,Place of Worship,0
271,2,31,2435.06498497743,3384.74032911863,0,Place of Worship,0
272,2,32,2301.75872629261,3199.44462954673,0,Place of Worship,0
273,2,33,1406.00781750706,1954.35086633481,0,Health Services,0
274,2,34,631.765849905992,878.154531369328,0,Place of Worship,0
275,2,35,178.310286290623,247.851297943965,0,Community Use,0
276,2,36,1346.99483842245,1872.3228254072,0,Community Use,0
277,2,37,1039.86252519599,1445.40891002242,0,Community Use,0
278,2,38,141.962838711149,197.328345808497,0,Community Use,0
279,2,39,2576.66925824266,3581.5702689573,0,Leisure/Recreation,0
280,2,40,1175.93442189848,1634.54884643889,0,Leisure/Recreation,0
281,2,41,3103.5381986003,4313.91809605442,0,Transport,0
282,2,42,2668.35918029012,3709.01926060326,0,Leisure/Recreation,0
283,2,43,1320.29730381911,1835.21325230856,0,Leisure/Recreation,0
284,2,44,2006.24344643817,2788.67839054906,0,Community Use,0
285,2,45,2431.6945274619,3380.05539317205,0,Leisure/Recreation,0
286,2,46,2483.68521233045,3452.32244513932,0,Leisure/Recreation,0
287,2,47,807.035573985431,1121.77944783975,0,Retail,0
288,2,48,988.65604092567,1374.23189688668,0,Education Centre,0
289,2,49,1484.68440889021,2063.71132835739,0,Education Centre,0
290,2,50,1055.0088703076,1466.46232972756,0,Leisure/Recreation,0
291,2,51,524.830964944589,729.515041272979,0,Place Of Assembly,0
292,2,52,1017.28201187993,1414.0219965131,0,Leisure/Recreation,0
293,2,53,1711.88440084728,2379.51931717772,0,Education Centre,0
294,2,54,2912.3754816296,4048.20191946514,0,Education Centre,0
295,2,55,608.773250576002,846.194818300643,0,Place Of Assembly,0
296,2,56,613.706909125957,853.052603685079,0,Place Of Assembly,0
297,2,57,573.490573695418,797.151897436631,0,Place Of Assembly,0
298,2,58,806.507908263268,1121.04599248594,0,Education Centre,0
299,2,59,1912.51267346448,2658.39261611563,0,Place Of Assembly,0
300,2,60,3922.24233479214,5451.91684536107,0,Leisure/Recreation,0
301,2,61,920.014957171749,1278.82079046873,0,Transport,0
302,2,62,457.304444683903,635.653178110625,0,Place Of Assembly,0
303,2,63,588.719949597875,818.320729941046,0,Leisure/Recreation,0
304,2,64,1512.21419923029,2101.97773693011,0,Education Centre,0
305,2,65,371.715808433681,516.684973722817,0,Community Use,0
306,2,66,161.099133421711,223.927795456179,0,Place Of Assembly,0
307,2,67,553.887896719695,769.904176440375,0,Mixed Use,0
308,2,68,498.751841890136,693.265060227289,0,Office,0
309,2,69,1067.18581611262,1483.38828439654,0,Health Services,0
310,2,70,874.944189730597,1216.17242372553,0,Leisure/Recreation,0
311,2,71,1501.78545720092,2087.48178550928,0,Office,0
312,2,72,620.989045232455,863.174772873112,0,Community Use,0
313,2,73,672.006271683466,934.088717640018,0,Transport,0
314,2,74,552.693233411286,768.243594441687,0,Community Use,0
315,2,75,1483.54589803555,2062.12879826941,0,Leisure/Recreation,0
316,2,76,1139.13892794896,1583.40310984905,0,Leisure/Recreation,0
317,2,77,2572.8716266711,3576.29156107283,0,Sports ,0
318,2,78,764.319355747496,1062.40390448902,0,Office,0
319,2,79,1172.68249927613,1630.02867399381,0,Place Of Assembly,0
320,2,80,1243.9759451446,1729.12656375099,0,Place Of Assembly,0
321,2,81,1153.84326310941,1603.84213572207,0,Place Of Assembly,0
322,2,82,3598.31367952122,5001.6560145345,0,Vacant Land,0
323,2,83,3571.51952785864,4964.41214372351,0,Leisure/Recreation,0
324,2,84,478.974299711792,665.774276599391,0,Mixed Use,0
325,2,85,988.35005264951,1373.80657318282,0,Place Of Assembly,0
326,2,86,1033.5374191502,1436.61701261878,0,Place Of Assembly,0
327,2,87,672.805177894109,935.199197272811,0,Place of Worship,0
328,2,88,634.228111884534,881.577075519503,0,Place Of Assembly,0
329,2,89,508.65977515131,707.03708746032,0,Office,0
330,2,90,65.5834128899798,91.160943917072,0,Community Use,0
331,2,91,627.968697085975,872.876488949505,0,Office,0
332,2,92,1362.30794837358,1893.60804823928,0,Mixed Use,0
333,2,93,652.800750333982,907.393042964235,0,Leisure/Recreation,0
334,2,94,887.230070828337,1233.24979845139,0,Community Use,0
335,2,95,950.155873165144,1320.71666369955,0,Purpose Built,0
336,2,96,751.307518189519,1044.31745028343,0,Health Services,0
337,2,97,305.070282614113,424.047692833617,0,Office,0
338,2,98,330.115696109051,458.860817591581,0,Place Of Assembly,0
339,2,99,322.774635065968,448.656742741696,0,Leisure/Recreation,0
340,2,100,1155.6256920211,1606.31971190933,0,Place Of Assembly,0
341,2,101,1583.07977616287,2200.48088886638,0,Leisure/Recreation,0
342,2,102,1958.05196539379,2721.69223189737,0,Purpose Built,0
343,2,103,1321.64568007631,1837.08749530607,0,Purpose Built,0
344,2,104,1365.65791973276,1898.26450842853,0,Leisure/Recreation,0
345,2,105,1739.18562741577,2417.46802210792,0,Mixed Use,0
346,2,106,1802.24809818282,2505.12485647412,0,Vacant Land,0
347,2,107,1370.2237415352,1904.61100073393,0,Leisure/Recreation,0
348,2,108,1541.35972274307,2142.49001461286,0,Transport,0
349,2,109,1474.95164334597,2050.1827842509,0,Place Of Assembly,0
350,2,110,1848.01655329791,2568.7430090841,0,Leisure/Recreation,0
351,2,111,1712.67595854253,2380.61958237411,0,Leisure/Recreation,0
352,2,112,3044.0139322031,4231.17936576231,0,Education Centre,0
353,2,113,3475.9469090904,4831.56620363565,0,Leisure/Recreation,0
354,2,114,1436.1242458602,1996.21270174568,0,Health Services,0
355,2,115,1287.26034873204,1789.29188473754,0,Education Centre,0
356,2,116,1279.9790592802,1779.17089239948,0,Place Of Assembly,0
357,2,117,1174.57369558259,1632.6574368598,0,Specialist Residential Accommodation,0
358,2,118,1110.24486918448,1543.24036816643,0,Vacant Land,0
359,2,119,1894.753131214,2633.70685238746,0,Sports,0
360,2,120,973.98459094608,1353.83858141505,0,Leisure/Recreation,0
361,2,121,931.338730887131,1294.56083593311,0,Leisure/Recreation,0
362,2,122,893.635416717872,1242.15322923784,0,Leisure/Recreation,0
363,2,123,1193.11150959203,1658.42499833292,0,Leisure/Recreation,0
364,2,124,914.130636495888,1270.64158472928,0,Place Of Assembly,0
365,2,125,902.33345491164,1254.24350232718,0,Place Of Assembly,0
366,2,126,780.734838590087,1085.22142564022,0,Community Use,0
367,2,127,806.389538901931,1120.88145907368,0,Place Of Assembly,0
368,2,128,778.797271884474,1082.52820791942,0,Community Use,0
369,2,129,768.694657141914,1068.48557342726,0,Community Use,0
370,2,130,720.863344114791,1002.00004831956,0,Community Use,0
371,2,131,466.368975417349,648.252875830116,0,Place Of Assembly,0
372,2,132,511.530570732743,711.027493318512,0,Leisure/Recreation,0
373,2,133,454.791985300063,632.160859567088,0,Leisure/Recreation,0
374,2,134,657.280397308859,913.619752259315,0,Leisure/Recreation,0
375,2,135,603.281548911589,838.561352987109,0,Leisure/Recreation,0
376,2,136,455.583209694539,633.26066147541,0,Transport,0
377,2,137,1632.1067293469,2268.62835379219,0,Transport,0
378,2,138,1090.22067696102,1515.40674097582,0,Transport,0
379,2,139,2014.10393436339,2799.60446876512,0,Leisure/Recreation,0
380,2,140,2993.5356234199,4161.01451655366,0,Leisure/Recreation,0
381,2,141,2466.99721641517,3429.12613081709,0,Transport,0
382,2,142,2793.88087193294,3883.49441198679,0,Transport,0
383,2,143,2828.67043208584,3931.85190059932,0,Transport,0
384,2,144,2057.14115372679,2859.42620368023,0,Leisure/Recreation,0
385,2,145,1916.48651832182,2663.91626046732,0,Health Services,0
386,2,146,2803.66743755792,3897.09773820551,0,Transport,0
387,2,147,2207.1242953398,3067.90277052232,0,Leisure/Recreation,0
388,2,148,1199.8082288507,1667.73343810247,0,Place Of Assembly,0
389,2,149,1491.95561462988,2073.81830433553,0,Leisure/Recreation,0
390,2,150,1346.33636594371,1871.40754866175,0,Community Use,0
391,2,151,1238.30620326755,1721.24562254189,0,Residential Accommodation,0
392,2,152,1590.13908614297,2210.29332973872,0,Leisure/Recreation,0
393,2,153,1359.94704836065,1890.3263972213,0,Leisure/Recreation,0
394,2,154,818.236699269963,1137.34901198525,0,Office,0
395,2,155,841.184608927126,1169.24660640871,0,Office,0
396,2,156,850.170887683218,1181.73753387967,0,Office,0
397,2,157,828.430699429986,1151.51867220768,0,Office,0
398,2,158,1963.26608626428,2728.93985990735,0,Leisure/Recreation,0
399,2,159,479.387880985811,666.349154570278,0,Transport,0
400,2,160,445.838212493916,619.715115366543,0,Transport,0
401,2,161,519.355350583237,721.903937310699,0,Transport,0
402,2,162,697.103392716635,968.973715876123,0,Transport,0
403,2,163,437.633068395067,608.309965069144,0,Transport,0
404,2,164,428.367416000887,595.430708241233,0,Transport,0
405,2,165,349.997725439099,486.496838360347,0,Transport,0
406,2,166,4293.61921087425,5968.13070311521,0,Transport,0
407,2,167,4094.25101399313,5691.00890945045,0,Transport,0
408,2,168,3209.75566242587,4461.56037077196,0,Transport,0
409,2,169,70.4418095348353,97.914115253421,0,Place Of Assembly,0
410,2,170,2733.25097966597,3799.21886173571,0,Health Services,0
411,2,171,3580.15447029557,4976.41471371084,0,Sports,0
412,2,172,1420.77699339215,1974.88002081509,0,Leisure/Recreation,0
413,2,173,1334.64163921369,1855.15187850702,0,Place Of Assembly,0
414,2,174,795.364767776558,1105.55702720942,0,Leisure/Recreation,0
415,2,175,4356.66174429321,6055.75982456757,0,Sports,0
416,2,176,1588.46147691688,2207.96145291446,0,Education Centre,0
417,2,177,318.190517940806,442.28481993772,0,Place Of Assembly,0
418,2,178,392.352301532428,545.369699130075,0,Place Of Assembly,0
419,2,179,1211.98984903575,1684.66589015969,0,Place Of Assembly,0
420,2,180,2890.80643581174,4018.22094577832,0,Industrial,0
421,2,181,2368.67716085452,3292.46125358778,0,Leisure/Recreation,0
422,2,182,879.370011344103,1222.3243157683,0,Leisure/Recreation,0
423,2,183,879.775983071379,1222.88861646922,0,Place Of Assembly,0
424,2,184,1542.22641048214,2143.69471057018,0,Education Centre,0
425,2,185,665.630636490886,925.226584722331,0,Leisure/Recreation,0
